,title,description,target
1076,"Five-minute grid of marine bird biomass density surveyed off central California - all seasons, 1980-2001 (CDAS data set AL0_MASS.shp)","AL0_MASS is a polygon shapefile representing 5 minute x 5 minute latitude x longitude cells that house the overall total biomass densities (kg/sq.km.) of 76 species of marine birds regardless of season and/or oceanic conditions. Density for each of 76 marine bird species was multiplied by average body mass for that species, and these products summed for all species in a cell, to obtain total biomass density. Cells that were surveyed but in which no birds were observed have total biomass densities of zero.",0
1077,"AH Provisional COVID-19 Deaths by HHS Region, Race, and Age Group, 2020-2021","Provisional deaths involving coronavirus disease 2019 (COVID-19) reported to NCHS by time-period (week, month, year), HHS region, race and Hispanic origin, and age group (0-24, 25-64, 65+ years) for 2020-2021.

United States death counts include the 50 states, plus the District of Columbia and New York City. The ten (10) United States Department of Health and Human Services (HHS) regions include the following jurisdictions. Region 1: Connecticut, Maine, Massachusetts, New Hampshire, Rhode Island, Vermont; Region 2: New Jersey, New York, New York City, Puerto Rico; Region 3: Delaware, District of Columbia, Maryland, Pennsylvania, Virginia, West Virginia; Region 4: Alabama, Florida, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee; Region 5: Illinois, Indiana, Michigan, Minnesota, Ohio, Wisconsin; Region 6: Arkansas, Louisiana, New Mexico, Oklahoma, Texas; Region 7: Iowa, Kansas, Missouri, Nebraska; Region 8: Colorado, Montana, North Dakota, South Dakota, Utah, Wyoming; Region 9: Arizona, California, Hawaii, Nevada; Region 10: Alaska, Idaho, Oregon, Washington.",1
1078,"TIGER/Line Shapefile, 2024, County, Douglas County, WI, Feature Names Relationship File","The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) System (MTS). The MTS represents a seamless national file with no overlaps or gaps between parts, however, each TIGER/Line shapefile is designed to stand alone as an independent data set, or they can be combined to cover the entire nation.
			
The Feature Names Relationship File contains a record for each feature name and any attributes associated with it. Each feature name can be linked to the corresponding edges that make up that feature in the All Lines shapefile (edges.shp), where applicable to the corresponding address range or ranges in the Address Range Relationship File (addr.dbf), or to both files. Although this file includes feature names for all linear features, not just road features, the primary purpose of this relationship file is to identify all street names associated with each address range. An edge can have several feature names; an address range located on an edge can be associated with one or any combination of the available feature names (an address range can be linked to multiple feature names). The address range is identified by the address range identifier (ARID) attribute, which can be used to link to the Address Range Relationship File (addr.dbf). The linear feature is identified by the linear feature identifier (LINEARID) attribute, which can be used to relate the address range back to the name attributes of the feature in the Feature Names Relationship File or to the feature record in the Primary Roads, Primary and Secondary Roads, or All Roads shapefiles. The edge to which a feature name applies can be determined by linking the feature name record to the All Lines shapefile (edges.shp) using the permanent edge identifier (TLID) attribute. The address range identifier(s) (ARID) for a specific linear feature can be found by using the linear feature identifier (LINEARID) from the Feature Names Relationship File through the Address Range/Feature Name Relationship File (addrfn.dbf).",0
1079,NNDSS - Table II. Tetanus to Vibriosis,"NNDSS - Table II. Tetanus to Vibriosis - 2015.In this Table, provisional cases of selected notifiable diseases (≥1,000 cases reported during the preceding year), and selected low frequency diseases are displayed. The Table includes total number of cases reported in the United States, by region and by states, in accordance with the current method of displaying MMWR data.  Data on United States exclude counts from US territories. Note:These are provisional cases of selected national notifiable diseases, from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data reported by the 50 states, New York City, the District of Columbia, and the U.S. territories are collated and published weekly as numbered tables printed in the back of the Morbidity and Mortality Weekly Report (MMWR). Cases reported by state health departments to CDC for weekly publication are provisional because of ongoing revision of information and delayed reporting. Case counts in this table are presented as they were published in the MMWR issues. Therefore, numbers listed in later MMWR weeks may reflect changes made to these counts as additional information becomes available. Footnotes:C.N.M.I.: Commonwealth of Northern Mariana Islands. U: Unavailable.    -: No reported cases.    N: Not reportable.    NN: Not Nationally Notifiable.    NP: Nationally notifiable but not published.    Cum: Cumulative year-to-date counts.    Med: Median.    Max: Maximum. * Three low incidence conditions, rubella, rubella congenital, and tetanus, have been moved to Table 2 to facilitate case count verification with reporting jurisdictions. ��� Case counts for reporting year 2015 are provisional and subject to change. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. Data for TB are displayed in Table IV, which appears quarterly. �� Any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139.",1
1080,"TIGER/Line Shapefile, 2015,  county, Grant Parish, LA, Topological Faces-Area Hydrography County-based Relationship File","The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) Database (MTDB).  The MTDB represents a seamless national file with no overlaps or gaps between parts, however, each TIGER/Line shapefile is designed to stand alone as an independent data set, or they can be combined to cover the entire nation.


The Topological Faces / Area Hydrography Relationship File (FACESAH.dbf) contains a record for each face / area hydrography feature relationship.  Face refers to the areal (polygon) topological primitives that make up MTDB.  A face is bounded by one or more edges; its boundary includes only the edges that separate it from other faces, not any interior edges contained within the area of the face.  The face to which a record in the Topological Faces / Area Hydrography Relationship File (FACESAH.dbf) applies can be determined by linking to the Topological Faces Shapefile (FACES.shp) using the permanent topological face identifier (TFID) attribute.  The area hydrography feature to which a record in the Topological Faces / Area Hydrography Relationship File (FACESAH.dbf) applies can be determined by linking to the Area Hydrography Shapefile (AREAWATER.shp) using the area hydrography identifier (HYDROID) attribute.  A face may be part of multiple area water features.  An area water feature may consist of multiple faces.",0
1081,Active Bacterial Core surveillance (ABCs) Group B Streptococcus,"ABCs is an ongoing surveillance program that began in 1997. <a href=""https://www.cdc.gov/abcs/reports-findings/surv-reports.html"">ABCs reports</a> describe the ABCs case definition and the specific methodology used to calculate rates and estimated numbers in the United States for each bacterium by year.  The methods, <a href=""https://www.cdc.gov/abcs/methodology/surv-pop.html"">surveillance areas</a>, and <a href=""https://www.cdc.gov/abcs/methodology/surv-pop.html"">laboratory isolate collection areas</a> have changed over time.
                Additionally, the way missing data are taken into account changed in 2010.  It went from distributing unknown values based on known values of cases by site to use of multiple imputation using a sequential regression imputation method.
                Given these changes over time, trends should be interpreted with caution.
<ul><li> <a href=""http://www.cdc.gov/abcs/methodology/index.html"">Methodology</a>
Find details about surveillance population, case determination, surveillance evaluation, and more. </li> <li><a href=""http://www.cdc.gov/abcs/reports-findings/index.html"">Reports and Findings</a>
Get official interpretations from reports and publications created from ABCs data.
 </li>                </ul>",1
1082,"TIGER/Line Shapefile, 2018,  county, Park County, MT, All Roads County-based Shapefile","The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) Database (MTDB).  The MTDB represents a seamless national file with no overlaps or gaps between parts, however, each TIGER/Line shapefile is designed to stand alone as an independent data set, or they can be combined to cover the entire nation.


The All Roads Shapefile includes all features within the MTDB Super Class ""Road/Path Features"" distinguished where the MAF/TIGER Feature Classification Code (MTFCC) for the feature in MTDB that begins with ""S"".  This includes all primary, secondary, local neighborhood, and rural roads, city streets, vehicular trails (4wd), ramps, service drives, alleys, parking lot roads, private roads for service vehicles (logging, oil fields, ranches, etc.), bike paths or trails, bridle/horse paths, walkways/pedestrian trails, and stairways.",0
1083,"Physical and biological data collected with a towed vehicle to support studies in the Southern Oceans, January - February 1998 (NCEI Accession 0000947)","Physical and biological data were collected using fluorometer and CTD casts from the ROGER REVELLE in the Southern Oceans from 12 January 1998 to 03 February 1998. Data were submitted by Dr. Robert O'Malley of the College of Oceanic and Atmospheric Sciences, Oregon State University with support from the Joint Global Ocean Flux Study / Southern Ocean (JGOFS/Southern Ocean) project.",0
1084,"TIGER/Line Shapefile, 2017,  county, Hopewell city, VA, Address Range-Feature Name County-based Relationship File","The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) Database (MTDB).  The MTDB represents a seamless national file with no overlaps or gaps between parts, however, each TIGER/Line shapefile is designed to stand alone as an independent data set, or they can be combined to cover the entire nation.


The Address Range / Feature Name Relationship File (ADDRFN.dbf) contains a record for each address range / linear feature name relationship.  The purpose of this relationship file is to identify all street names associated with each address range.  An edge can have several feature names; an address range located on an edge can be associated with one or any combination of the available feature names (an address range can be linked to multiple feature names).  The address range is identified by the address range identifier (ARID) attribute that can be used to link to the Address Ranges Relationship File (ADDR.dbf).  The linear feature name is identified by the linear feature identifier (LINEARID) attribute that can be used to link to the Feature Names Relationship File (FEATNAMES.dbf).",0
1085,An aggregated dataset of day 3 post-inoculation viral titer measurements from influenza A virus-infected ferret tissues,"Data from influenza A virus (IAV) infected ferrets (Mustela putorius furo) provides invaluable information towards the study of novel and emerging viruses that pose a threat to human health. This gold standard animal model can recapitulate many clinical signs of infection present in IAV-infected humans, supports virus replication of human and zoonotic strains without prior adaptation, and permits evaluation of virus transmissibility by multiple modes. While ferrets have been employed in risk assessment settings for >20 years, results from this work are typically reported in discrete stand-alone publications, making aggregation of raw data from this work over time nearly impossible. Here, we describe a dataset of 333 ferrets inoculated with 107 unique IAV, conducted by a single research group (NCIRD/ID/IPB/Pathogenesis Laboratory Team) under a uniform experimental protocol. This collection of ferret tissue viral titer data on a per-individual ferret level represents a companion dataset to ‘An aggregated dataset of serially collected influenza A virus morbidity and titer measurements from virus-infected ferrets’. However, care must be taken when combining datasets at the level of individual animals (see PMID 40245007 for guidance in best practices for comparing datasets comprised of serially-collected and fixed-timepoint in vivo-generated data).

See publications using and describing data for more information:
Kieran TJ, Sun X, Tumpey TM, Maines TR, Belser JA. 202X. Spatial variation of infectious virus load in aggregated day 3 post-inoculation respiratory tract tissues from influenza A virus-infected ferrets. Under peer review. 

Kieran TJ, Sun X, Maines TR, Belser JA. 2025. Predictive models of influenza A virus lethal disease: insights from ferret respiratory tract and brain tissues. Scientific Reports, in press.

Bullock TA, Pappas C, Uyeki TM, Brock N, Kieran TJ, Olsen SJ, Davis CD, Tumpey TM, Maines TR, Belser JA. 2025. The (digestive) path less traveled: influenza A virus and the gastrointestinal tract. mBio, in press.

Kieran TJ, Sun X, Maines TR, Beauchemin CAA, Belser JA. 2024. Exploring associations between viral titer measurements and disease outcomes in ferrets inoculated with 125 contemporary influenza A viruses. J Virol98: e01661-23. https://doi.org/10.1038/s41597-024-03256-6

Related dataset:
Kieran TJ, Sun X, Creager HM, Tumpey TM, Maine TR, Belser JA. 2025. An aggregated dataset of serial morbidity and titer measurements from influenza A virus-infected ferrets. Sci Data, 11(1):510. https://doi.org/10.1038/s41597-024-03256-6

https://data.cdc.gov/National-Center-for-Immunization-and-Respiratory-D/An-aggregated-dataset-of-serially-collected-influe/cr56-k9wj/about_data

Other relevant publications for best practices on data handling and interpretation: 
Kieran TJ, Maines TR, Belser JA. 2025. Eleven quick tips to unlock the power of in vivo data science. PLoS Comput Biol, 21(4):e1012947. https://doi.org/10.1371/journal.pcbi.1012947

Kieran TJ, Maines TR, Belser JA. 2025. Data alchemy, from lab to insight: Transforming in vivo experiments into data science gold. PLoS Pathog, 20(8):e1012460. https://doi.org/10.1371/journal.ppat.1012460",1
1086,"Smoking-Attributable Mortality, Morbidity, and Economic Costs (SAMMEC) - Smoking-Attributable Mortality (SAM)","2005-2009. SAMMEC - Smoking-Attributable Mortality, Morbidity, and Economic Costs. Smoking-attributable mortality (SAM) is the number of deaths caused by cigarette smoking based on diseases for which the U.S. Surgeon General has determined that cigarette smoking is a causal factor.",1
1087,"TIGER/Line Shapefile, 2024, County, Warren County, IL, All Lines","The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) System (MTS). The MTS represents a seamless national file with no overlaps or gaps between parts, however, each TIGER/Line shapefile is designed to stand alone as an independent data set, or they can be combined to cover the entire nation.
			
Edges refer to the linear topological primitives that make up the MTS. The All Lines shapefile contains linear features such as roads, railroads, and hydrography. Additional attribute data associated with the linear features found in the All Lines shapefile are available in relationship (.dbf) files that users must download separately. The All Lines shapefile contains the geometry and attributes of each topological primitive edge. Each edge has a unique TIGER/Line identifier (TLID) value.",0
1088,"TIGER/Line Shapefile, 2018,  county, Alexandria city, VA, Topological Faces (Polygons With All Geocodes) County-based Shapefile","The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) Database (MTDB).  The MTDB represents a seamless national file with no overlaps or gaps between parts, however, each TIGER/Line shapefile is designed to stand alone as an independent data set, or they can be combined to cover the entire nation.


Face refers to the areal (polygon) topological primitives that make up MTDB. A face is bounded by one or more edges; its boundary includes only the edges that separate it from other faces, not any interior edges contained within the area of the face.  The Topological Faces Shapefile contains the attributes of each topological primitive face.  Each face has a unique topological face identifier (TFID) value.  Each face in the shapefile includes the key geographic area codes for all geographic areas for which the Census Bureau tabulates data for both the 2010 Census and the annual estimates and surveys.  The geometries of each of these geographic areas can then be built by dissolving the face geometries on the appropriate key geographic area codes in the Topological Faces Shapefile.",0
1089,State Summaries_Idaho,"VA State Summary Reports are produced using data from the National Center for Veterans Analysis and Statistics and provide a comprehensive overview of Veterans in each U.S. State.  We also use data from the Census Bureau, DoD, and IPUMS. Guam and Puerto Rico summaries are produced, but no other territories.",1
1090,NCVAS State Summary Nevada FY2023,NCVAS State Summary Nevada FY2023,1
1091,REDDY MAIN BELT ASTEROID SPECTRA,"This data set contains low-resolution    (R~150) near-infrared                                                  (0.7-2.5 microns) spectra of 90 main belt asteroids observed           with the SpeX instrument on the NASA Infrared Telescope                Facility (IRTF) on Mauna Kea, Hawai'i. This data set archives          reduced, calibrated spectra of targets of opportunity observed from    2001 to 2012.",0
1092,"TIGER/Line Shapefile, 2016,  county, Reno County, KS, Topological Faces-Area Hydrography County-based Relationship File","The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) Database (MTDB).  The MTDB represents a seamless national file with no overlaps or gaps between parts, however, each TIGER/Line shapefile is designed to stand alone as an independent data set, or they can be combined to cover the entire nation.


The Topological Faces / Area Hydrography Relationship File (FACESAH.dbf) contains a record for each face / area hydrography feature relationship.  Face refers to the areal (polygon) topological primitives that make up MTDB.  A face is bounded by one or more edges; its boundary includes only the edges that separate it from other faces, not any interior edges contained within the area of the face.  The face to which a record in the Topological Faces / Area Hydrography Relationship File (FACESAH.dbf) applies can be determined by linking to the Topological Faces Shapefile (FACES.shp) using the permanent topological face identifier (TFID) attribute.  The area hydrography feature to which a record in the Topological Faces / Area Hydrography Relationship File (FACESAH.dbf) applies can be determined by linking to the Area Hydrography Shapefile (AREAWATER.shp) using the area hydrography identifier (HYDROID) attribute.  A face may be part of multiple area water features.  An area water feature may consist of multiple faces.",0
1093,"TIGER/Line Shapefile, 2013,  county, St. Croix County, WI, Current Feature Names Relationship File","The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) Database (MTDB).  The MTDB represents a seamless national file with no overlaps or gaps between parts, however, each TIGER/Line shapefile is designed to stand alone as an independent data set, or they can be combined to cover the entire nation.  The Feature Names Relationship File (FEATNAMES.dbf) contains a record for each feature name and any attributes associated with it.  Each feature name can be linked to the corresponding edges that make up that feature in the All Lines Shapefile (EDGES.shp), where applicable to the corresponding address range or ranges in the Address Ranges Relationship File (ADDR.dbf), or to both files.  Although this file includes feature names for all linear features, not just road features, the primary purpose of this relationship file is to identify all street names associated with each address range.  An edge can have several feature names; an address range located on an edge can be associated with one or any combination of the available feature names (an address range can be linked to multiple feature names).  The address range is identified by the address range identifier (ARID) attribute, which can be used to link to the Address Ranges Relationship File (ADDR.dbf).  The linear feature is identified by the linear feature identifier (LINEARID) attribute,  which can be used to relate the address range back to the name attributes of the feature in the Feature Names Relationship File or to the feature record in the Primary Roads, Primary and Secondary Roads, or All Roads Shapefiles. The edge to which a feature name applies can be determined by linking the feature name record to the All Lines Shapefile (EDGES.shp) using the permanent edge identifier (TLID) attribute.  The address range identifier(s) (ARID) for a specific linear feature can be found by using the linear feature identifier (LINEARID) from the Feature Names Relationship File (FEATNAMES.dbf) through the Address Range / Feature Name Relationship File (ADDRFN.dbf).",0
1094,Estimates of avian influenza transmission risk across the wild waterfowl - domestic poultry interface.,"These data describe the creation, execution, and results of an effort to model the risk of avian influenza transmission across the wild waterfowl - domestic poultry interface at weekly intervals for the contiguous United States.",1
1095,Medicare Fee-For-Service  Public Provider Enrollment,"The Medicare Fee-For-Service Public Provider Enrollment dataset includes information on providers who are actively approved to bill Medicare or have completed the 855O at the time the data was pulled from the Provider Enrollment, Chain, and Ownership System (PECOS). The release of this provider enrollment data is not related to other provider information releases such as Physician Compare or Data Transparency.",1
1096,"TIGER/Line Shapefile, 2024, County, Bulloch County, GA, Linear Hydrography","The TIGER/Line shapefiles and related database files (.dbf) are an extract of selected geographic and cartographic information from the U.S. Census Bureau's Master Address File / Topologically Integrated Geographic Encoding and Referencing (MAF/TIGER) System (MTS). The MTS represents a seamless national file with no overlaps or gaps between parts, however, each TIGER/Line shapefile is designed to stand alone as an independent data set, or they can be combined to cover the entire nation.
			
Linear water features include single-line drainage water features and artificial path features that run through double-line drainage features such as rivers and streams and serve as a linear representation of these features. The artificial path features may correspond to those in the U.S. Geological Survey National Hydrographic Dataset (NHD). However, in many cases the features do not match NHD equivalent features and will not carry the NHD metadata codes. These features have a MAF/TIGER Feature Classification Code (MTFCC) beginning with an ""H"" to indicate the super class of hydrographic features.",0
1097,"NNDSS - TABLE 1Q. Hepatitis B, perinatal infection to Hepatitis C (viral, acute), Probable","NNDSS - TABLE 1Q.  Hepatitis B, perinatal infection to Hepatitis C (viral, acute), Probable - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. 

Note: 
This table contains provisional cases of national notifiable diseases from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data from the 50 states, New York City, the District of Columbia and the U.S. territories are collated and published weekly on the NNDSS Data and Statistics web page (https://wwwn.cdc.gov/nndss/data-and-statistics.html). Cases reported by state health departments to CDC for weekly publication are provisional because of the time needed to complete case follow-up. Therefore, numbers presented in later weeks may reflect changes made to these counts as additional information becomes available. The national surveillance case definitions used to define a case are available on the NNDSS web site at https://wwwn.cdc.gov/nndss/. Information about the weekly provisional data and guides to interpreting data are available at: https://wwwn.cdc.gov/nndss/infectious-tables.html. 

Footnotes:
U: Unavailable — The reporting jurisdiction was unable to send the data to CDC or CDC was unable to process the data.
-: No reported cases — The reporting jurisdiction did not submit any cases to CDC.
N: Not reportable — The disease or condition was not reportable by law, statute, or regulation in the reporting jurisdiction.
NN: Not nationally notifiable — This condition was not designated as being nationally notifiable.
NP: Nationally notifiable but not published — CDC does not have data because of changes in how conditions are categorized.
Cum: Cumulative year-to-date counts.
 Max: Maximum — Maximum case count during the previous 52 weeks.
 * Case counts for reporting years 2018 and 2019 are provisional and subject to change. Cases are assigned to the reporting jurisdiction submitting the case to NNDSS, if the case's country of usual residence is the US, a US territory, unknown, or null (i.e. country not reported); otherwise, the case is assigned to the 'Non-US Residents' category. For further information on interpretation of these data, see https://wwwn.cdc.gov/nndss/document/Users_guide_WONDER_tables_cleared_final.pdf. 
† Previous 52 week maximum and cumulative YTD are determined from periods of time when the condition was reportable in the jurisdiction (i.e., may be less than 52 weeks of data or incomplete YTD data). 
§ For acute Hepatitis C, only confirmed cases were verified.",1
1098,2023 CEV Data: Current Population Survey Civic Engagement and Volunteering Supplement,"The Current Population Survey Civic Engagement and Volunteering (CEV) Supplement is the most robust longitudinal survey about volunteerism and other forms of civic engagement in the United States. Produced by AmeriCorps in partnership with the U.S. Census Bureau, the CEV takes the pulse of our nation’s civic health every two years. The data on this page was collected in September 2023. The next wave of the CEV will be administered in September 2025.

The CEV can generate reliable estimates at the national level, within states and the District of Columbia, and in the largest twelve Metropolitan Statistical Areas to support evidence-based decision making and efforts to understand how people make a difference in communities across the country. 

Click on ""Export"" to download and review an excerpt from the 2023 CEV Analytic Codebook that shows the variables available in the analytic CEV datasets produced by AmeriCorps.

Click on ""Show More"" to download and review the following 2023 CEV data and resources provided as attachments:

1) 2023 CEV Dataset Fact Sheet – brief summary of technical aspects of the 2023 CEV dataset.
2) CEV FAQs – answers to frequently asked technical questions about the CEV
3) Constructs and measures in the CEV
4) 2023 CEV Analytic Data and Setup Files – analytic dataset in Stata (.dta), R (.rdata), SPSS (.sav), and Excel (.csv) formats, codebook for analytic dataset, and Stata code (.do) to convert raw dataset to analytic formatting produced by AmeriCorps. These files were updated on January 16, 2025 to correct erroneous missing values for the ssupwgt variable.
5) 2023 CEV Technical Documentation – codebook for raw dataset and full supplement documentation produced by U.S. Census Bureau
6) 2023 CEV Raw Data and Read In Files – raw dataset in Stata (.dta) format, Stata code (.do) and dictionary file (.dct) to read ASCII dataset (.dat) into Stata using layout files (.lis)",1
1099,NNDSS - Table II. Cryptosporidiosis to Dengue Hemorrhagic Fever,"NNDSS - Table II. Cryptosporidiosis to Dengue Hemorrhagic Fever - 2014.In this Table, all conditions with a 5-year average annual national total of more than or equals 1,000 cases but less than or equals 10,000 cases will be displayed (��� 1,000 and ��_ 10,000). The Table includes total number of cases reported in the United States, by region and by states, in accordance with the current method of displaying MMWR data.  Data on United States exclude counts from US territories. Note:These are provisional cases of selected national notifiable diseases, from the National Notifiable Diseases Surveillance System (NNDSS). NNDSS data reported by the 50 states, New York City, the District of Columbia, and the U.S. territories are collated and published weekly as numbered tables printed in the back of the Morbidity and Mortality Weekly Report (MMWR). Cases reported by state health departments to CDC for weekly publication are provisional because of ongoing revision of information and delayed reporting. Case counts in this table are presented as they were published in the MMWR issues. Therefore, numbers listed in later MMWR weeks may reflect changes made to these counts as additional information becomes available. Footnotes:C.N.M.I.: Commonwealth of Northern Mariana Islands. U: Unavailable.    -: No reported cases.    N: Not reportable.    NN: Not Nationally Notifiable    Cum: Cumulative year-to-date counts.    Med: Median.    Max: Maximum. * Case counts for reporting years 2013 and 2014 are provisional and subject to change. For further information on interpretation of these data, see http://wwwn.cdc.gov/nndss/document/ProvisionalNationaNotifiableDiseasesSurveillanceData20100927.pdf. Data for TB are displayed in Table IV, which appears quarterly. ��� Dengue Fever includes cases that meet criteria for Dengue Fever with hemorrhage, other clinical, and unknown case classifications. �� DHF includes cases that meet criteria for dengue shock syndrome (DSS), a more severe form of DHF.More information on NNDSS is available at http://wwwn.cdc.gov/nndss/.",1
1100,Registration Intake and Individuals Household Program (RI-IHP),"This dataset is a summary of the OpenFEMA Individuals and Households Program - Valid Registrations (NEMIS) dataset and contains aggregated, non-PII data from Housing Assistance Program reporting authority within FEMA's Recovery Directorate to share data on registrations and Individuals and Households Program (IHP).  The data contains counts of program eligibility, referrals and registration methods as well as program award amounts segmented by city where registration is valid. Additionally disaster number, county and zip code are provided.rnrnPlease Note: IHP is intended to help with critical expenses that cannot be covered in other ways. The IHP is not intended to return all homes or belongings to their preâ€disaster condition. In some cases, IHP may only provide enough money, up to the program limits, for you to return an item to service. Secondary or vacation residencies do not qualify. Visit for more information about the program: https://www.fema.gov/assistance/public . rnrnThis is raw, unedited data from FEMA's National Emergency Management Information System (NEMIS) and as such is subject to a small percentage of human error. rnrnThe financial information is derived from NEMIS and not FEMA's official financial systems.  Due to differences in reporting periods, status of obligations and how business rules are applied, this financial information may differ slightly from official publication on public websites such as usaspending.gov;  this dataset is not intended to be used for any official federal financial reporting.rnrnCitation: The Agency's preferred citation for datasets (API usage or file downloads) can be found on the OpenFEMA Terms and Conditions page, Citing Data section: https://www.fema.gov/about/openfema/terms-conditions .rnrnThis dataset is not intended to be an official federal report, and should not be considered an official federal report.rnrnIf you have media inquiries about this dataset, please email the FEMA News Desk FEMA-News-Desk@dhs.gov or call (202) 646-3272.  For inquiries about FEMA's data and Open government program please contact the OpenFEMA team via email OpenFEMA@fema.dhs.gov.",1
1101,"ACCESS CTD (Station 8-W), Line 8, Station W","These data describe Chlorophyll a, Conductivity, Omega Aragonite, Oxygen: Dissolved Oxygen Concentration, Oxygen: Saturation, Salinity, Sea Water Density, Sea Water Pressure, Sea Water Turbidity, Temperature: Water Temperature measurements from ACCESS CTD (Station 8-W), Line 8, Station W, with measurements made from 2023-05-11T23:04:59Z to 2024-05-19T19:59:02Z. The Applied California Current Ecosystem Studies (ACCESS) program was formed in 2004 as a multidisciplinary collaborative between Point Blue Conservation Science, Cordell Bank National Marine Sanctuary and Greater Farallones National Marine Sanctuary. It supports marine wildlife conservation and healthy marine ecosystems in northern and central California through scientific research that informs resource managers, policy makers and conservation partners. ACCESS also works to coordinate private and governmental marine research at an ecosystem scale to address urgent local management needs.",0
1102,"Cumulative Influenza Vaccination Coverage by Race/Ethnicity and Age Group, NIS-ACM (Archived)","Cumulative Influenza Vaccination Coverage Age Group, Race/Ethnicity, and Jurisdiction, Adults 18 Years and Older, United States, National Immunization Survey Adult COVID Module.

The National Immunization Survey-Adult COVID Module (NIS-ACM) was launched in April 2021 among adults 18 years and older. The survey was used to monitor COVID-19 vaccination uptake and confidence in vaccination among adults and included questions about influenza vaccination.",1
1103,"Coastwide Reference Monitoring System (CRMS) 2005, 2008, 2012, 2016 and 2018 Site 0232 land-water matrix","Wetland restoration efforts conducted by the Coastal Wetlands Planning, Protection and Restoration Act (CWPPRA) in Louisiana rely on monitoring to determine the efficacy of these projects. The Coastwide Reference Monitoring System (CRMS) was developed to assist in a multiple-reference approach that uses aspects of hydrogeomorphic functional assessments and probabilistic sampling for monitoring. The CRMS program includes a suite of approximately 390 sites that encompass the range of hydrological and ecological conditions for each stratum. As part of CRMS, land and water classifications are created from Digital Orthophoto Quarter Quadrangles (DOQQs) approximately every three years at all CRMS sites. This dataset consists of a matrix of five land-water products (2005, 2008, 2012, YYYY and 2018).  The resulting matrix has 32 possible classes defined by the combination of land and water categories on those five dates.",0
1104,HAICViz - Candidemia,"<p>The healthcare-associated infection component of CDC’s <a href=""https://www.cdc.gov/ncezid/dpei/eip/index.html"" target=""_blank"">EIP</a> engages a <a href=""https://www.cdc.gov/ncezid/dpei/eip/eip-sites.html"" target=""_blank"">network</a> of state health departments and their academic medical center partners to help answer critical questions about emerging HAI threats, advanced infection tracking methods, and antibiotic resistance in the United States. Information gathered through this activity will play a key role in shaping future policies and recommendations targeting HAI prevention. </p>",1
1105,NCVAS State Summary Indiana FY2021,NCVAS State Summary Indiana FY2021,1
